univ_name,year,median_oa_perc
"Rio de Janeiro State
University",2012-01-01,0.09090909090909091
"Rio de Janeiro State
University",2013-01-01,0.1
"Rio de Janeiro State
University",2014-01-01,0.10526315789473684
"Rio de Janeiro State
University",2015-01-01,0.13953488372093023
"Rio de Janeiro State
University",2016-01-01,0.16129032258064516
"Rio de Janeiro State
University",2017-01-01,0.19230769230769232
Sao Paulo State University,2007-01-01,0.02817460317460317
Sao Paulo State University,2008-01-01,0.034482758620689655
Sao Paulo State University,2009-01-01,0.045454545454545456
Sao Paulo State University,2010-01-01,0.047619047619047616
Sao Paulo State University,2011-01-01,0.0625
Sao Paulo State University,2012-01-01,0.06896551724137931
Sao Paulo State University,2013-01-01,0.08333333333333333
Sao Paulo State University,2014-01-01,0.09615384615384616
Sao Paulo State University,2015-01-01,0.1111111111111111
Sao Paulo State University,2016-01-01,0.14285714285714285
Sao Paulo State University,2017-01-01,0.16326530612244897
State University of Campinas,2007-01-01,0.038461538461538464
State University of Campinas,2008-01-01,0.0425531914893617
State University of Campinas,2009-01-01,0.047619047619047616
State University of Campinas,2010-01-01,0.058823529411764705
State University of Campinas,2011-01-01,0.07142857142857142
State University of Campinas,2012-01-01,0.08333333333333333
State University of Campinas,2013-01-01,0.08571428571428572
State University of Campinas,2014-01-01,0.10638297872340426
State University of Campinas,2015-01-01,0.11320754716981132
State University of Campinas,2016-01-01,0.14285714285714285
State University of Campinas,2017-01-01,0.16666666666666666
State University of Ceará,2007-01-01,0.08249158249158249
State University of Ceará,2008-01-01,0.16620689655172416
State University of Ceará,2009-01-01,0.14835164835164835
State University of Ceará,2010-01-01,0.11764705882352941
State University of Ceará,2011-01-01,0.1875
State University of Ceará,2012-01-01,0.15535444947209653
State University of Ceará,2013-01-01,0.16666666666666666
State University of Ceará,2014-01-01,0.18181818181818182
State University of Ceará,2015-01-01,0.18518518518518517
State University of Ceará,2016-01-01,0.20673076923076922
State University of Ceará,2017-01-01,0.23809523809523808
"Universidade do Estado de
Santa Catarina",2007-01-01,0
"Universidade do Estado de
Santa Catarina",2008-01-01,0
"Universidade do Estado de
Santa Catarina",2009-01-01,0
"Universidade do Estado de
Santa Catarina",2010-01-01,0.02857142857142857
"Universidade do Estado de
Santa Catarina",2011-01-01,0.047619047619047616
"Universidade do Estado de
Santa Catarina",2012-01-01,0.047619047619047616
"Universidade do Estado de
Santa Catarina",2013-01-01,0.044466403162055336
"Universidade do Estado de
Santa Catarina",2014-01-01,0.06458333333333333
"Universidade do Estado de
Santa Catarina",2015-01-01,0.09090909090909091
"Universidade do Estado de
Santa Catarina",2016-01-01,0.11764705882352941
"Universidade do Estado de
Santa Catarina",2017-01-01,0.13333333333333333
"Universidade Estadual de
Maringá",2007-01-01,0.045454545454545456
"Universidade Estadual de
Maringá",2008-01-01,0.041666666666666664
"Universidade Estadual de
Maringá",2009-01-01,0.041666666666666664
"Universidade Estadual de
Maringá",2010-01-01,0.04
"Universidade Estadual de
Maringá",2011-01-01,0.05
"Universidade Estadual de
Maringá",2012-01-01,0.05555555555555555
"Universidade Estadual de
Maringá",2013-01-01,0.0625
"Universidade Estadual de
Maringá",2014-01-01,0.0748134328358209
"Universidade Estadual de
Maringá",2015-01-01,0.1
"Universidade Estadual de
Maringá",2016-01-01,0.125
"Universidade Estadual de
Maringá",2017-01-01,0.13015245623941274
"Universidade Federal de
Ciências da Saúde de Porto
Alegre",2008-01-01,0.14047842401500937
"Universidade Federal de
Ciências da Saúde de Porto
Alegre",2009-01-01,0.16333333333333333
"Universidade Federal de
Ciências da Saúde de Porto
Alegre",2010-01-01,0.15384615384615385
"Universidade Federal de
Ciências da Saúde de Porto
Alegre",2011-01-01,0.12771739130434784
"Universidade Federal de
Ciências da Saúde de Porto
Alegre",2012-01-01,0.14583333333333334
"Universidade Federal de
Ciências da Saúde de Porto
Alegre",2013-01-01,0.18697033898305085
"Universidade Federal de
Ciências da Saúde de Porto
Alegre",2014-01-01,0.18990384615384615
"Universidade Federal de
Ciências da Saúde de Porto
Alegre",2015-01-01,0.2
"Universidade Federal de
Ciências da Saúde de Porto
Alegre",2016-01-01,0.24468085106382978
"Universidade Federal de
Ciências da Saúde de Porto
Alegre",2017-01-01,0.27586206896551724
Universidade Federal de Goiás,2007-01-01,0.05334281650071124
Universidade Federal de Goiás,2008-01-01,0.07142857142857142
Universidade Federal de Goiás,2009-01-01,0.05634920634920634
Universidade Federal de Goiás,2010-01-01,0.06060606060606061
Universidade Federal de Goiás,2011-01-01,0.07142857142857142
Universidade Federal de Goiás,2012-01-01,0.06666666666666667
