univ_name,year,median_oa_perc
Tomsk Polytechnic University,2013-01-01,0
Tomsk Polytechnic University,2014-01-01,0
Tomsk Polytechnic University,2015-01-01,0
Tomsk Polytechnic University,2016-01-01,0.02702702702702703
Tomsk Polytechnic University,2017-01-01,0.08434959349593496
Tomsk State University,2007-01-01,0
Tomsk State University,2008-01-01,0
Tomsk State University,2009-01-01,0
Tomsk State University,2010-01-01,0
Tomsk State University,2011-01-01,0
Tomsk State University,2012-01-01,0
Tomsk State University,2013-01-01,0
Tomsk State University,2014-01-01,0
Tomsk State University,2015-01-01,0.04616477272727273
Tomsk State University,2016-01-01,0.0743801652892562
Tomsk State University,2017-01-01,0.1
"Ufa State Aviation Technical
University",2007-01-01,0
"Ufa State Aviation Technical
University",2008-01-01,0
"Ufa State Aviation Technical
University",2009-01-01,0
"Ufa State Aviation Technical
University",2010-01-01,0
"Ufa State Aviation Technical
University",2011-01-01,0
"Ufa State Aviation Technical
University",2012-01-01,0
"Ufa State Aviation Technical
University",2013-01-01,0
"Ufa State Aviation Technical
University",2014-01-01,0.034523809523809526
"Ufa State Aviation Technical
University",2015-01-01,0.041666666666666664
"Ufa State Aviation Technical
University",2016-01-01,0
"Ufa State Aviation Technical
University",2017-01-01,0
Ural Federal University,2009-01-01,0.03333333333333333
Ural Federal University,2010-01-01,0
Ural Federal University,2011-01-01,0
Ural Federal University,2012-01-01,0
Ural Federal University,2013-01-01,0
Ural Federal University,2014-01-01,0.058823529411764705
Ural Federal University,2015-01-01,0.05
Ural Federal University,2016-01-01,0.0625
Ural Federal University,2017-01-01,0.06742424242424241
Voronezh State University,2007-01-01,0
Voronezh State University,2008-01-01,0
Voronezh State University,2009-01-01,0
Voronezh State University,2010-01-01,0
Voronezh State University,2011-01-01,0
Voronezh State University,2012-01-01,0
Voronezh State University,2013-01-01,0
Voronezh State University,2014-01-01,0
Voronezh State University,2015-01-01,0.04
Voronezh State University,2016-01-01,0.047431571053618296
Voronezh State University,2017-01-01,0.03333333333333333
